agent,annualized_return,annualized_volatility,bootstrap_paths,capital_preservation_rate_95pct_hwm,final_portfolio_value,fold_id,max_drawdown,meets_95pct_preservation_goal,seed,sharpe_ratio,test_window,ticker,timesteps,train_window,var_95,var_95_violation_rate
ppo_with_uncertainty_guard,0.12367180636826468,0.1923734896669996,0,0.9755947740317558,1249850.4796215065,wf_2020_2021,0.23825243385223205,True,42,0.6061210700143114,2020-01-01/2021-12-31,XLF,10000,2009-01-01/2019-12-31,-0.0182132199562969,0.05186721991701245
ppo_standalone,-0.0033727014762700703,0.01180701536524689,0,0.9795088462774417,993598.9299011586,wf_2022_2023,0.0218385012664285,True,7,-0.2861312811221096,2022-01-01/2023-12-31,XLF,10000,2009-01-01/2021-12-31,0.0,0.027139874739039668
ppo_with_uncertainty_guard,-0.03739413333659852,0.05499967123160792,0,0.9143366641241535,930120.0833269949,wf_2022_2023,0.12157304850156536,False,7,-0.6929335517283823,2022-01-01/2023-12-31,XLF,10000,2009-01-01/2021-12-31,-0.006570523273560447,0.05010438413361169
ppo_standalone,-0.005290174376741422,0.010963879728178302,0,0.9784712674203693,989968.4334178285,wf_2022_2023,0.021528732579630727,True,19,-0.4837831341945125,2022-01-01/2023-12-31,XLF,10000,2009-01-01/2021-12-31,0.0,0.031315240083507306
ppo_with_uncertainty_guard,0.03450487843201305,0.1366624976596366,0,1.0,1066604.7765107083,wf_2022_2023,0.1316737619618331,True,19,0.24822387346912525,2022-01-01/2023-12-31,XLF,10000,2009-01-01/2021-12-31,-0.013763246028369735,0.05010438413361169
ppo_standalone,-0.004711784962593664,0.016223299097944635,0,0.9733653550305863,991062.8784836608,wf_2022_2023,0.02794734771321472,True,42,-0.29111675571233686,2022-01-01/2023-12-31,XLF,10000,2009-01-01/2021-12-31,0.0,0.03549060542797495
ppo_with_uncertainty_guard,0.021076357331197153,0.17602567364278035,0,1.0,1040441.8383507278,wf_2022_2023,0.18973580162185244,True,42,0.11849012676958437,2022-01-01/2023-12-31,XLF,10000,2009-01-01/2021-12-31,-0.018231879742402233,0.05010438413361169
ppo_standalone,0.004329539223679752,0.006248443089463842,0,0.9996499606837311,1008245.6061039012,wf_2024_2025,0.0048214743071308686,True,7,0.6913856648038161,2024-01-01/2025-12-31,XLF,10000,2009-01-01/2023-12-31,0.0,0.020876826722338204
ppo_with_uncertainty_guard,0.006888472663269228,0.011330973097145354,0,0.9937351805365677,1013134.179256639,wf_2024_2025,0.00870776748458002,True,7,0.6058402308192568,2024-01-01/2025-12-31,XLF,10000,2009-01-01/2023-12-31,-0.000726978391249844,0.05010438413361169
ppo_standalone,0.011665373167089165,0.009549390380021313,0,0.9999501730211489,1022289.9228923375,wf_2024_2025,0.0056879661094106915,True,19,1.214492653823032,2024-01-01/2025-12-31,XLF,10000,2009-01-01/2023-12-31,0.0,0.025052192066805846
ppo_with_uncertainty_guard,0.1904656722066936,0.16173598585515447,0,0.9926450939206108,1392907.1209726622,wf_2024_2025,0.15462088196093826,True,19,1.077956644696211,2024-01-01/2025-12-31,XLF,10000,2009-01-01/2023-12-31,-0.013785229525032779,0.05010438413361169
ppo_standalone,0.00757048152056334,0.00902074103018977,0,0.9999166484546951,1014438.9765708969,wf_2024_2025,0.00609696330542453,True,42,0.8360550969365207,2024-01-01/2025-12-31,XLF,10000,2009-01-01/2023-12-31,0.0,0.020876826722338204
ppo_with_uncertainty_guard,0.21097431598619384,0.1674274781943999,0,0.9926440187163079,1438872.6285114076,wf_2024_2025,0.1550907678147081,True,42,1.1433312857756497,2024-01-01/2025-12-31,XLF,10000,2009-01-01/2023-12-31,-0.014647886789927964,0.05010438413361169
