date,baseline_value,prob_value,uncertainty_aleatoric,uncertainty_epistemic
2023-02-07,997943.0162297995,942014.1306228987,0.15841965,0.4694664
2023-02-08,997943.0162297995,931749.3029680206,0.14920752,0.64912885
2023-02-09,997943.0162297995,923698.0896801279,0.19860487,0.27350384
2023-02-10,997943.0162297995,925846.745988285,0.2601158,0.7091972
2023-02-13,997943.0162297995,936684.2363784452,0.2905811,0.6201616
2023-02-14,997943.0162297995,936254.1555914296,0.27302727,0.5124358
2023-02-15,997943.0162297995,939286.8701790186,0.26932794,0.5523437
2023-02-16,997943.0162297995,926386.3489289738,0.2547481,0.5938518
2023-02-17,997943.0162297995,924077.3384243955,0.29899535,0.41138867
2023-02-21,997943.0162297995,905584.0630308851,0.3335227,0.40355375
2023-02-22,997943.0162297995,904339.1727076668,0.42317778,0.4117637
2023-02-23,997943.0162297995,909136.3687686924,0.46648204,0.21070474
2023-02-24,997943.0162297995,899451.9650356063,0.46749756,0.52571106
2023-02-27,997943.0162297995,902506.7223826026,0.4976002,0.1393395
2023-02-28,997943.0162297995,899180.5527013498,0.4864296,0.7761762
2023-03-01,997943.0162297995,895741.1504857418,0.4820774,0.64939743
2023-03-02,997943.0162297995,902687.6639387736,0.48352814,0.59376526
2023-03-03,997943.0162297995,917123.3893031537,0.44696975,0.48949918
2023-03-06,997943.0162297995,917756.8176482525,0.36746976,0.41613665
2023-03-07,997943.0162297995,903728.253597081,0.3160414,0.44407424
2023-03-08,997943.0162297995,905198.5143499891,0.3362791,0.43068466
2023-03-09,997943.0162297995,888547.1941889505,0.33990592,0.5072994
2023-03-10,997943.0162297995,875764.2269231136,0.4051162,0.50301194
2023-03-13,997943.0162297995,874519.7144173179,0.4816422,0.3406448
2023-03-14,997943.0162297995,888931.7583953962,0.521102,0.49045452
2023-03-15,997943.0162297995,883389.1680387497,0.4788858,0.44011185
2023-03-16,997943.0162297995,898840.0253729026,0.46829545,0.29212075
2023-03-17,997943.0162297995,888362.5259469909,0.3884328,0.26650003
2023-03-20,997943.0162297995,896878.9240857245,0.38096157,0.3613744
2023-03-21,997943.0162297995,908620.3677581587,0.3349009,0.18182622
2023-03-22,997943.0162297995,893179.9451694641,0.26599124,0.1902825
2023-03-23,997943.0162297995,895587.3237223246,0.2921769,0.52901655
2023-03-24,997943.0162297995,901447.8295721879,0.29391778,0.5029997
2023-03-27,997943.0162297995,903128.7989827958,0.27708933,0.60550815
2023-03-28,997943.0162297995,901107.1538695045,0.26736945,0.36679703
2023-03-29,997943.0162297995,914167.7955763974,0.27114135,0.4333244
2023-03-30,997943.0162297995,919505.9994263386,0.22689408,0.21504995
2023-03-31,997943.0162297995,932431.5738685695,0.19381745,0.4492816
2023-04-03,997943.0162297995,935975.6306593195,0.13607842,0.7627267
2023-04-04,997943.0162297995,930795.7334424348,0.103146866,0.38658127
2023-04-05,997943.0162297995,928364.0560957559,0.11359212,0.3946736
2023-04-06,997943.0162297995,931977.1469296761,0.14217149,0.6078095
2023-04-10,997943.0162297995,932931.3917074006,0.15537313,0.523271
2023-04-11,997943.0162297995,933181.3359901241,0.17249173,0.4781102
2023-04-12,997943.0162297995,929385.646445326,0.19207658,0.40763488
2023-04-13,997943.0162297995,941703.0990042501,0.22783706,0.5218108
2023-04-14,997943.0162297995,939407.8057946889,0.20614865,0.27838498
2023-04-17,997943.0162297995,942771.6109283123,0.21673898,0.5917802
2023-04-18,997943.0162297995,943385.1042196631,0.21071845,0.349434
2023-04-19,997943.0162297995,943225.8054981823,0.21615869,0.5430619
2023-04-20,997943.0162297995,938089.4910435614,0.22703916,0.15045996
2023-04-21,997943.0162297995,938816.73882775,0.2541678,0.40552774
2023-04-24,997943.0162297995,939793.92243583,0.272447,0.48094967
2023-04-25,997943.0162297995,924905.3155711978,0.2845606,0.19876875
2023-04-26,997943.0162297995,920994.9860733268,0.34781238,0.2580293
2023-04-27,997943.0162297995,939297.828352345,0.3917695,0.56678855
2023-04-28,997943.0162297995,947300.2165358765,0.34991595,0.5335127
2023-05-01,997943.0162297995,946345.0642052301,0.30059114,0.6249284
2023-05-02,997943.0162297995,935725.8947307254,0.2760738,0.51487136
2023-05-03,997943.0162297995,929313.9112307539,0.29986578,0.5243418
2023-05-04,997943.0162297995,922742.3709671391,0.33439314,0.3209083
2023-05-05,997943.0162297995,939797.1868363213,0.37864038,0.60122067
2023-05-08,997943.0162297995,940047.5581716745,0.33903548,0.49929586
2023-05-09,997943.0162297995,935931.0646836963,0.32003093,0.6683705
2023-05-10,997943.0162297995,940297.5442626697,0.32003093,0.29097453
2023-05-11,997943.0162297995,938660.2515368888,0.302332,0.9693692
2023-05-12,997943.0162297995,937432.0769041919,0.30363768,0.28983498
2023-05-15,997943.0162297995,940661.5358214453,0.30711943,0.30584878
2023-05-16,997943.0162297995,934383.840806748,0.2992855,0.39289603
2023-05-17,997943.0162297995,945711.3494336652,0.31988585,0.5926512
2023-05-18,997943.0162297995,954808.908528912,0.28855008,0.28290883
2023-05-19,997943.0162297995,953421.5299297118,0.2440127,0.46512562
2023-05-22,997943.0162297995,953808.1283862665,0.22936033,0.4101781
2023-05-23,997943.0162297995,943116.5582503052,0.2231222,0.347521
2023-05-24,997943.0162297995,936291.5825235995,0.26243696,0.41848457
2023-05-25,997943.0162297995,944390.3247295581,0.31212443,0.6420729
2023-05-26,997943.0162297995,956605.5268019995,0.31589633,0.47746664
2023-05-30,997943.0162297995,956969.5226628861,0.2778147,0.4676278
2023-05-31,997943.0162297995,951669.2439394839,0.25786716,0.27726206
2023-06-01,997943.0162297995,960699.7595142286,0.26497573,0.23632659
2023-06-02,997943.0162297995,974576.2901264436,0.23937036,0.50951195
2023-06-05,997943.0162297995,972710.6996334026,0.18533069,0.40110487
2023-06-06,997943.0162297995,974826.5970859651,0.17510304,0.41169047
2023-06-07,997943.0162297995,971459.4240720639,0.16610852,0.17639028
2023-06-08,997943.0162297995,977329.3833361296,0.18351728,0.5577908
2023-06-09,997943.0162297995,979081.2115593493,0.1823567,0.3312243
2023-06-12,997943.0162297995,987954.0008722724,0.18663634,0.37084597
2023-06-13,997943.0162297995,994460.2566942371,0.16697896,0.47456947
2023-06-14,997943.0162297995,995642.7037540011,0.14623353,0.32666603
2023-06-15,997943.0162297995,1007970.2402879607,0.14043061,0.5926911
2023-06-16,997943.0162297995,1004541.6210153726,0.10887725,0.42200422
2023-06-20,997943.0162297995,999337.2071752931,0.11946757,0.42784297
2023-06-21,997943.0162297995,994224.3403967583,0.15203644,0.49404854
2023-06-22,997943.0162297995,997807.5875631582,0.19904009,0.27614912
2023-06-23,997943.0162297995,990276.2114754731,0.22029327,0.55622846
2023-06-26,997943.0162297995,986236.8385364781,0.2670793,0.37007815
2023-06-27,997943.0162297995,997031.6497430771,0.31060117,0.54544204
2023-06-28,997943.0162297995,997533.5820498372,0.30037352,0.45007277
2023-06-29,997943.0162297995,1001458.7755364398,0.29623896,0.592457
2023-06-30,997943.0162297995,1013259.1716225919,0.27912036,0.32866108
2023-07-03,997943.0162297995,1014423.06133432,0.2348731,0.41622654
2023-07-05,997943.0162297995,1012916.4956663445,0.2145629,0.22372371
2023-07-06,997943.0162297995,1004995.160311537,0.21108113,0.34891024
2023-07-07,997943.0162297995,1002461.414364367,0.24299718,0.30538052
2023-07-10,997943.0162297995,1004995.2228022267,0.27302727,0.27239978
2023-07-11,997943.0162297995,1011387.2633789891,0.28738952,0.66023713
2023-07-12,997943.0162297995,1019514.5717723187,0.27730694,0.5467436
2023-07-13,997943.0162297995,1027596.4070932177,0.24945293,0.34755987
2023-07-14,997943.0162297995,1026957.1703839366,0.21202411,0.6142951
2023-07-17,997943.0162297995,1030518.718140393,0.19962038,0.16769986
2023-07-18,997943.0162297995,1038167.6772847174,0.18866737,0.3371806
2023-07-19,997943.0162297995,1040473.731815472,0.16552824,0.32575282
2023-07-20,997943.0162297995,1033577.6263273451,0.1563161,0.4639428
2023-07-21,997943.0162297995,1033577.5372280213,0.18351728,0.4163397
2023-07-24,997943.0162297995,1038190.0006468716,0.20730925,0.4361184
2023-07-25,997943.0162297995,1041021.1765345073,0.21354738,0.33105007
